Name,Address,BusinessDays,BusinessHours,ToursandTasting,Area,Link,lon,lat
ST. CLAIR-BROWN WINERY,1605 ACTION AVE,Thus - Tues,12 PM - 6 PM,Public,Napa,https://www.stclairbrown.com/,-122.2866118,38.30485474
CHARLES KRUG WINERY,2800 MAIN ST,"Sun, Wed - Sat",10:30 AM - 5 PM,Public,St. Helena,https://www.charleskrug.com/,-122.4814746,38.51878235
SAINT HELENA WINERY,100 PRATT AVE,Mon - Sat,10 AM - 4 PM,Private,St. Helena,https://www.sthelenawinery.com/,-122.4757068,38.51975187
Fortunate Son Wines,825 FULTON LN,No Business Days,No Business Hours,No Tours or Tastings,St. Helena,https://fortunatesonwines.com/,-122.4701768,38.51047808
MERRYVALE VINEYARDS,1000 MAIN ST,Sun - Sat,10:30 AM - 5:30 PM,Public,St. Helena,http://www.merryvale.com/,-122.4643468,38.50212348
BERINGER VINEYARDS,2000 MAIN ST,Sun - Sat,10 AM - 5 PM,Public,St. Helena,http://www.beringer.com/,-122.4810468,38.51055187
DAVIES FAMILY WINERY,1210 GRAYSON AVE,Sun - Sat,9:45 AM - 5 PM,Appointment,St. Helena,https://www.daviesvineyards.com/visit/visitor-center-old/,-122.4623262,38.49870848
SALVESTRIN WINERY,397 MAIN ST,Sun - Sat,10 AM - 4 PM,Appointment,St. Helena,http://www.salvestrinwinery.com/,-122.4612668,38.49671569
Chase Cellars,2252 SULPHUR SPRINGS AVE,Tues - Sat,"10 AM - 4 PM, 11 AM - 4 PM",Appointment,St. Helena,http://www.chasecellars.com/,-122.4686968,38.48742187
SPOTTSWOODE WINERY,1902 MADRONA AVE,Mon - Fri,9 AM - 5 PM,Appointment,St. Helena,http://www.spottswoode.com/,-122.4788968,38.50023187
VAROZZA,514 PRATT AVE,Sun - Sat,11 AM - 5 PM ,Appointment,St. Helena,http://www.varozzavineyards.com/,-122.4752638,38.51724648
ANOMALY,455 BELLA VISTA CT,Mon - Sat,10 AM - 4 PM,Appointment,St. Helena,http://www.anomalyvineyards.com/,-122.4726268,38.4895899
AUBERT WINERY,333 SILVERADO TRL,By Appointment,By Appointment,Appointment,Calistoga,http://www.aubertwines.com/,-122.5662978,38.58190509
SWITCHBACK RIDGE,810 FOOTHILL BLVD,By Appointment,By Appointment,Appointment,Calistoga,https://switchbackridge.com/,-122.5768512,38.57446009
OTRA VEZ WINERY,2280 GREENWOOD AVE,Sun - Sat,10 AM - 4:30 PM,Appointment,Calistoga,https://www.otravezwine.com/,-122.5872868,38.59444509
